WorkerName,StatesReceived,StatesComputed
rmi://sagittaire-65.lyon.grid5000.fr:59439,539147,40686
rmi://sagittaire-64.lyon.grid5000.fr:34644,532286,33064
rmi://sagittaire-9.lyon.grid5000.fr:55036,498503,27544
rmi://sagittaire-7.lyon.grid5000.fr:42196,478584,22225
rmi://sagittaire-70.lyon.grid5000.fr:35563,593592,61850
rmi://sagittaire-67.lyon.grid5000.fr:39366,499895,28485
rmi://sagittaire-64.lyon.grid5000.fr:34644,532037,34395
rmi://sagittaire-78.lyon.grid5000.fr:34469,560992,51425
rmi://sagittaire-79.lyon.grid5000.fr:50902,544502,44957
rmi://sagittaire-75.lyon.grid5000.fr:54696,572658,56208
rmi://sagittaire-71.lyon.grid5000.fr:50945,529493,30360
rmi://sagittaire-6.lyon.grid5000.fr:38657,489398,21548
rmi://sagittaire-69.lyon.grid5000.fr:33566,548918,42294
rmi://sagittaire-65.lyon.grid5000.fr:59439,539358,36491
rmi://sagittaire-9.lyon.grid5000.fr:55036,497101,27382
rmi://sagittaire-69.lyon.grid5000.fr:33566,550503,41208
rmi://sagittaire-66.lyon.grid5000.fr:34345,495530,23339
rmi://sagittaire-68.lyon.grid5000.fr:53064,508332,19198
rmi://sagittaire-61.lyon.grid5000.fr:38896,501491,28938
rmi://sagittaire-79.lyon.grid5000.fr:50902,546287,41099
rmi://sagittaire-63.lyon.grid5000.fr:41423,498339,27028
rmi://sagittaire-63.lyon.grid5000.fr:41423,497123,25147
rmi://sagittaire-7.lyon.grid5000.fr:42196,472796,19617
rmi://sagittaire-67.lyon.grid5000.fr:39366,501348,28469
rmi://sagittaire-70.lyon.grid5000.fr:35563,592784,63959
rmi://sagittaire-6.lyon.grid5000.fr:38657,491723,21369
rmi://sagittaire-61.lyon.grid5000.fr:38896,498995,27264
rmi://sagittaire-75.lyon.grid5000.fr:54696,571107,51513
rmi://sagittaire-78.lyon.grid5000.fr:34469,561303,50331
rmi://sagittaire-68.lyon.grid5000.fr:53064,507599,24833
rmi://sagittaire-71.lyon.grid5000.fr:50945,528356,30238
rmi://sagittaire-66.lyon.grid5000.fr:34345,497136,25885
