WorkerName,StatesReceived,StatesComputed
rmi://ip-10-30-131-53.ec2.internal:52136,11879785,835091
rmi://ip-10-31-129-245.ec2.internal:60903,12329742,1204623
rmi://ip-10-31-129-245.ec2.internal:60903,12320218,1200046
rmi://ip-10-157-6-106.ec2.internal:37990,12516577,1420096
rmi://ip-10-157-4-138.ec2.internal:58261,12028384,969912
rmi://ip-10-31-129-245.ec2.internal:60903,12296749,1185707
rmi://ip-10-157-6-106.ec2.internal:37990,12490447,1355734
rmi://ip-10-157-4-138.ec2.internal:58261,12020193,935295
rmi://ip-10-31-129-245.ec2.internal:60903,12224097,1191206
rmi://ip-10-30-131-53.ec2.internal:52136,11877595,828067
rmi://ip-10-157-6-106.ec2.internal:37990,12514376,1410416
rmi://ip-10-157-6-97.ec2.internal:49013,11610121,692657
rmi://ip-10-30-131-53.ec2.internal:52136,11870969,852754
rmi://ip-10-31-134-66.ec2.internal:47163,12171958,1049559
rmi://ip-10-30-129-74.ec2.internal:48193,12630768,1516254
rmi://ip-10-157-6-106.ec2.internal:37990,12514059,1388044
rmi://ip-10-29-137-116.ec2.internal:55053,12195850,1058672
rmi://ip-10-30-131-53.ec2.internal:52136,11877902,864209
rmi://ip-10-157-6-204.ec2.internal:58251,11786555,783822
rmi://ip-10-157-6-204.ec2.internal:58251,11829035,818618
rmi://ip-10-31-135-44.ec2.internal:44418,12627436,1499138
rmi://ip-10-157-4-138.ec2.internal:58261,12031410,938549
rmi://ip-10-30-131-53.ec2.internal:52136,11887285,821201
rmi://ip-10-30-131-53.ec2.internal:52136,11860662,822088
rmi://ip-10-157-3-171.ec2.internal:56060,12461101,1351145
rmi://ip-10-31-135-44.ec2.internal:44418,12630262,1500121
rmi://ip-10-157-6-97.ec2.internal:49013,11561838,663273
rmi://ip-10-157-6-204.ec2.internal:58251,11795681,781251
rmi://ip-10-157-3-171.ec2.internal:56060,12459507,1324641
rmi://ip-10-157-4-138.ec2.internal:58261,12032391,970083
rmi://ip-10-31-134-66.ec2.internal:47163,12194766,1072905
rmi://ip-10-31-134-66.ec2.internal:47163,12177700,1064174
rmi://ip-10-157-6-204.ec2.internal:58251,11822905,820635
rmi://ip-10-30-129-74.ec2.internal:48193,12630601,1512801
rmi://ip-10-31-134-66.ec2.internal:47163,12195600,1088370
rmi://ip-10-157-6-97.ec2.internal:49013,11619843,668930
rmi://ip-10-157-3-171.ec2.internal:56060,12418992,1288070
rmi://ip-10-157-3-171.ec2.internal:56060,12450680,1356730
rmi://ip-10-30-129-74.ec2.internal:48193,12630941,1528479
rmi://ip-10-157-6-106.ec2.internal:37990,12520678,1373564
rmi://ip-10-157-4-138.ec2.internal:58261,12032456,954295
rmi://ip-10-31-135-44.ec2.internal:44418,12624505,1513869
rmi://ip-10-29-137-116.ec2.internal:55053,12198695,1069101
rmi://ip-10-30-131-53.ec2.internal:52136,11892514,856115
rmi://ip-10-157-6-106.ec2.internal:37990,12486869,1369288
rmi://ip-10-157-3-171.ec2.internal:56060,12465316,1352487
rmi://ip-10-157-6-97.ec2.internal:49013,11589434,683803
rmi://ip-10-31-135-44.ec2.internal:44418,12629457,1504506
rmi://ip-10-30-129-74.ec2.internal:48193,12634396,1521291
rmi://ip-10-30-129-74.ec2.internal:48193,12632918,1539231
rmi://ip-10-31-129-245.ec2.internal:60903,12311357,1170242
rmi://ip-10-157-6-97.ec2.internal:49013,11644376,729013
rmi://ip-10-30-129-74.ec2.internal:48193,12632721,1522167
rmi://ip-10-157-6-97.ec2.internal:49013,11620282,705984
rmi://ip-10-29-137-116.ec2.internal:55053,12198382,1072101
rmi://ip-10-157-4-138.ec2.internal:58261,12021835,894917
rmi://ip-10-31-134-66.ec2.internal:47163,12196982,1073320
rmi://ip-10-29-137-116.ec2.internal:55053,12194557,1092263
rmi://ip-10-31-129-245.ec2.internal:60903,12315370,1213497
rmi://ip-10-29-137-116.ec2.internal:55053,12196383,1070921
rmi://ip-10-157-3-171.ec2.internal:56060,12453109,1332995
rmi://ip-10-157-4-138.ec2.internal:58261,12032194,940880
rmi://ip-10-157-6-204.ec2.internal:58251,11790834,788965
rmi://ip-10-29-137-116.ec2.internal:55053,12199806,1070225
rmi://ip-10-31-129-245.ec2.internal:60903,12336640,1204982
rmi://ip-10-157-6-106.ec2.internal:37990,12504555,1401197
rmi://ip-10-157-4-138.ec2.internal:58261,12027025,945305
rmi://ip-10-157-6-106.ec2.internal:37990,12524684,1418352
rmi://ip-10-31-129-245.ec2.internal:60903,12303128,1189804
rmi://ip-10-157-6-204.ec2.internal:58251,11823645,784124
rmi://ip-10-31-134-66.ec2.internal:47163,12172222,1091665
rmi://ip-10-157-6-97.ec2.internal:49013,11615898,673360
rmi://ip-10-29-137-116.ec2.internal:55053,12198711,1074919
rmi://ip-10-30-131-53.ec2.internal:52136,11878410,842331
rmi://ip-10-157-6-204.ec2.internal:58251,11782114,779053
rmi://ip-10-31-135-44.ec2.internal:44418,12627095,1485443
rmi://ip-10-157-3-171.ec2.internal:56060,12459682,1323632
rmi://ip-10-31-135-44.ec2.internal:44418,12626734,1521413
rmi://ip-10-157-3-171.ec2.internal:56060,12450963,1336388
rmi://ip-10-31-134-66.ec2.internal:47163,12136960,1039195
rmi://ip-10-31-135-44.ec2.internal:44418,12628871,1502154
rmi://ip-10-157-6-204.ec2.internal:58251,11766820,761002
rmi://ip-10-30-129-74.ec2.internal:48193,12635271,1505523
rmi://ip-10-29-137-116.ec2.internal:55053,12196797,1054495
rmi://ip-10-157-6-97.ec2.internal:49013,11601702,687723
rmi://ip-10-31-134-66.ec2.internal:47163,12186243,1069336
rmi://ip-10-31-135-44.ec2.internal:44418,12632463,1514434
rmi://ip-10-30-129-74.ec2.internal:48193,12634784,1510112
