WorkerName,StatesReceived,StatesComputed
rmi://bordereau-33.bordeaux.grid5000.fr:53676,3443,10070
rmi://bordereau-42.bordeaux.grid5000.fr:42911,3325,8354
rmi://bordereau-43.bordeaux.grid5000.fr:53496,3469,10701
rmi://bordereau-48.bordeaux.grid5000.fr:56250,3373,7735
rmi://bordereau-28.bordeaux.grid5000.fr:34488,3431,10232
rmi://bordereau-38.bordeaux.grid5000.fr:35619,3285,6813
rmi://bordereau-29.bordeaux.grid5000.fr:50340,3379,8797
rmi://bordereau-46.bordeaux.grid5000.fr:41431,3307,9077
rmi://bordereau-62.bordeaux.grid5000.fr:46981,3295,7594
rmi://bordereau-60.bordeaux.grid5000.fr:37467,3383,9025
rmi://bordereau-5.bordeaux.grid5000.fr:58555,3377,8999
rmi://bordereau-69.bordeaux.grid5000.fr:38158,3363,7817
rmi://bordereau-36.bordeaux.grid5000.fr:51025,3303,8665
rmi://bordereau-52.bordeaux.grid5000.fr:42984,3361,7182
rmi://bordereau-54.bordeaux.grid5000.fr:37610,3377,8458
rmi://bordereau-67.bordeaux.grid5000.fr:59017,3436,10478
rmi://bordereau-56.bordeaux.grid5000.fr:43239,3307,8036
rmi://bordereau-37.bordeaux.grid5000.fr:39190,3333,9476
rmi://bordereau-59.bordeaux.grid5000.fr:43212,3269,7076
rmi://bordereau-49.bordeaux.grid5000.fr:37731,3448,9535
rmi://bordereau-53.bordeaux.grid5000.fr:41757,3385,8580
rmi://bordereau-6.bordeaux.grid5000.fr:53668,3336,9570
rmi://bordereau-83.bordeaux.grid5000.fr:58575,3442,9927
rmi://bordereau-87.bordeaux.grid5000.fr:45790,3370,9085
rmi://bordereau-32.bordeaux.grid5000.fr:56816,3407,9113
rmi://bordereau-35.bordeaux.grid5000.fr:40128,3556,10677
rmi://bordereau-55.bordeaux.grid5000.fr:38980,3460,9245
rmi://bordereau-71.bordeaux.grid5000.fr:39728,3265,6281
rmi://bordereau-66.bordeaux.grid5000.fr:46469,3368,10173
rmi://bordereau-70.bordeaux.grid5000.fr:41714,3387,8352
rmi://bordereau-64.bordeaux.grid5000.fr:58061,3443,8533
rmi://bordereau-50.bordeaux.grid5000.fr:47420,3359,9643
rmi://bordereau-47.bordeaux.grid5000.fr:56337,3328,7301
rmi://bordereau-39.bordeaux.grid5000.fr:48049,3506,10467
rmi://bordereau-9.bordeaux.grid5000.fr:48820,3413,9132
rmi://bordereau-61.bordeaux.grid5000.fr:60962,3327,8277
rmi://bordereau-31.bordeaux.grid5000.fr:44161,3322,7565
rmi://borderline-2.bordeaux.grid5000.fr:47769,3291,7236
rmi://bordereau-65.bordeaux.grid5000.fr:52422,3397,9662
rmi://borderline-7.bordeaux.grid5000.fr:53989,3323,8526
rmi://bordereau-44.bordeaux.grid5000.fr:47366,3412,9138
rmi://bordereau-58.bordeaux.grid5000.fr:59442,3341,8868
rmi://bordereau-51.bordeaux.grid5000.fr:36931,3384,9137
rmi://bordereau-3.bordeaux.grid5000.fr:37138,3394,10115
rmi://bordereau-68.bordeaux.grid5000.fr:55448,3380,9635
rmi://bordereau-63.bordeaux.grid5000.fr:39057,3430,9362
rmi://bordereau-45.bordeaux.grid5000.fr:33013,3379,8628
rmi://bordereau-75.bordeaux.grid5000.fr:54559,3424,10177
rmi://bordereau-90.bordeaux.grid5000.fr:50645,3341,6926
rmi://borderline-10.bordeaux.grid5000.fr:52359,3445,9593
rmi://bordereau-85.bordeaux.grid5000.fr:50337,3299,6928
rmi://bordereau-92.bordeaux.grid5000.fr:49398,3349,8543
rmi://bordereau-86.bordeaux.grid5000.fr:44997,3334,8090
rmi://bordereau-89.bordeaux.grid5000.fr:58016,3441,9860
rmi://bordereau-93.bordeaux.grid5000.fr:56998,3370,8802
rmi://bordereau-72.bordeaux.grid5000.fr:56707,3351,8381
rmi://bordereau-80.bordeaux.grid5000.fr:47596,3349,9234
rmi://bordereau-76.bordeaux.grid5000.fr:55327,3311,7776
rmi://borderline-9.bordeaux.grid5000.fr:47735,3317,7341
rmi://bordereau-7.bordeaux.grid5000.fr:56782,3348,7979
rmi://bordereau-82.bordeaux.grid5000.fr:33211,3243,7735
rmi://bordereau-73.bordeaux.grid5000.fr:37912,3439,10156
rmi://bordereau-91.bordeaux.grid5000.fr:49889,3290,8561
rmi://bordereau-81.bordeaux.grid5000.fr:36805,3249,6879
rmi://borderline-3.bordeaux.grid5000.fr:57784,3315,7447
rmi://borderline-4.bordeaux.grid5000.fr:46092,3327,8704
rmi://bordereau-27.bordeaux.grid5000.fr:34616,3317,8042
rmi://borderline-6.bordeaux.grid5000.fr:51159,3261,6481
rmi://bordereau-88.bordeaux.grid5000.fr:45937,3282,6992
rmi://borderline-1.bordeaux.grid5000.fr:38121,3350,7371
rmi://bordereau-8.bordeaux.grid5000.fr:55176,3281,7803
rmi://borderline-8.bordeaux.grid5000.fr:47901,3359,10055
rmi://bordereau-84.bordeaux.grid5000.fr:53230,3408,9890
rmi://bordereau-26.bordeaux.grid5000.fr:47066,3278,8295
rmi://bordereau-78.bordeaux.grid5000.fr:43622,3276,6434
rmi://bordereau-74.bordeaux.grid5000.fr:35226,3378,8739
rmi://bordereau-77.bordeaux.grid5000.fr:47920,3439,9724
rmi://borderline-5.bordeaux.grid5000.fr:40267,3304,8837
