WorkerName,StatesReceived,StatesComputed
rmi://ip-10-31-133-227.ec2.internal:60577,67001753,10142246
rmi://ip-10-31-134-91.ec2.internal:52006,66776159,10113227
rmi://ip-10-31-133-8.ec2.internal:43840,66995277,10128619
rmi://ip-10-157-2-203.ec2.internal:34782,66880758,10136579
rmi://ip-10-31-131-103.ec2.internal:55717,66260157,10133628
rmi://ip-10-31-128-34.ec2.internal:52152,66188490,9999937
rmi://ip-10-31-128-34.ec2.internal:52152,67025055,9920002
rmi://ip-10-31-128-34.ec2.internal:52152,67116106,9914289
rmi://ip-10-31-131-103.ec2.internal:55717,65707395,9919250
rmi://ip-10-31-137-81.ec2.internal:50526,67312014,10072959
rmi://ip-10-31-137-81.ec2.internal:50526,66508100,9965156
rmi://ip-10-31-128-34.ec2.internal:52152,67769758,9997618
rmi://ip-10-31-133-8.ec2.internal:43840,67530204,10252143
rmi://ip-10-157-2-203.ec2.internal:34782,69770068,10532481
rmi://ip-10-157-2-203.ec2.internal:34782,67175188,10092449
rmi://ip-10-31-133-227.ec2.internal:60577,67539008,10448736
rmi://ip-10-31-128-34.ec2.internal:52152,66753182,9763407
rmi://ip-10-31-133-227.ec2.internal:60577,68267531,10485375
rmi://ip-10-31-131-103.ec2.internal:55717,66227014,10277862
rmi://ip-10-31-134-91.ec2.internal:52006,67018043,10275169
rmi://ip-10-157-2-203.ec2.internal:34782,69703536,10582901
rmi://ip-10-157-2-203.ec2.internal:34782,66272304,10046772
rmi://ip-10-157-3-50.ec2.internal:35007,66506387,10066067
rmi://ip-10-31-133-8.ec2.internal:43840,66432659,9910507
rmi://ip-10-31-131-103.ec2.internal:55717,66335275,10373187
rmi://ip-10-31-134-91.ec2.internal:52006,70307244,10666761
rmi://ip-10-157-2-203.ec2.internal:34782,69554275,10615573
rmi://ip-10-31-131-103.ec2.internal:55717,65884361,10017653
rmi://ip-10-157-3-50.ec2.internal:35007,66109596,10142411
rmi://ip-10-157-3-50.ec2.internal:35007,65852564,9985775
rmi://ip-10-31-133-227.ec2.internal:60577,67078956,10221888
rmi://ip-10-31-137-81.ec2.internal:50526,67664200,10064422
rmi://ip-10-31-128-34.ec2.internal:52152,67194079,9938696
rmi://ip-10-31-134-91.ec2.internal:52006,66540530,10216486
rmi://ip-10-31-133-227.ec2.internal:60577,66682299,10219110
rmi://ip-10-31-134-91.ec2.internal:52006,66751795,10085451
rmi://ip-10-157-3-50.ec2.internal:35007,65831957,10035507
rmi://ip-10-157-3-50.ec2.internal:35007,67912971,10250418
rmi://ip-10-157-3-50.ec2.internal:35007,67569868,10244827
rmi://ip-10-31-128-34.ec2.internal:52152,66827389,9824275
rmi://ip-10-31-133-227.ec2.internal:60577,65900983,10204685
rmi://ip-10-31-133-8.ec2.internal:43840,66363347,10042426
rmi://ip-10-31-137-81.ec2.internal:50526,66657258,9964380
rmi://ip-10-31-133-227.ec2.internal:60577,67899375,10528894
rmi://ip-10-31-134-91.ec2.internal:52006,66438963,10073897
rmi://ip-10-31-137-81.ec2.internal:50526,67726710,10198462
rmi://ip-10-31-134-91.ec2.internal:52006,70165043,10606453
rmi://ip-10-31-133-8.ec2.internal:43840,67094613,10116305
rmi://ip-10-31-137-81.ec2.internal:50526,69269211,10497495
rmi://ip-10-31-134-91.ec2.internal:52006,67037140,10236019
rmi://ip-10-31-131-103.ec2.internal:55717,65921389,10138948
rmi://ip-10-157-2-203.ec2.internal:34782,66902080,10240247
rmi://ip-10-31-131-103.ec2.internal:55717,66280013,10207961
rmi://ip-10-157-3-50.ec2.internal:35007,66530939,10115673
rmi://ip-10-31-133-227.ec2.internal:60577,68855924,10609945
rmi://ip-10-31-131-103.ec2.internal:55717,65712100,10267520
rmi://ip-10-31-133-8.ec2.internal:43840,66756271,10044292
rmi://ip-10-157-2-203.ec2.internal:34782,67092964,10197892
rmi://ip-10-31-133-8.ec2.internal:43840,69820415,10547582
rmi://ip-10-157-3-50.ec2.internal:35007,62520137,9441498
rmi://ip-10-31-128-34.ec2.internal:52152,67226464,9877764
rmi://ip-10-31-137-81.ec2.internal:50526,67172806,10142712
rmi://ip-10-31-133-8.ec2.internal:43840,67115974,10221568
rmi://ip-10-31-137-81.ec2.internal:50526,67673672,10183033
